date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:17:34	1411/1411	---M--	200	added ('OK')	image/png	date:Fri,%2020%20May%202016%2021:27:40%20GMT	http://www.isgd.org/wp-content/plugins/js_composer/assets/lib/prettyphoto/images/prettyPhoto/light_rounded/btnNext.png	C:/My%20Web%20Sites/isgd/www.isgd.org/wp-content/plugins/js_composer/assets/lib/prettyphoto/images/prettyPhoto/light_rounded/btnNext.png	(from http://www.isgd.org/wp-content/plugins/js_composer/assets/lib/prettyphoto/css/prettyPhoto.min.css?ver=4.11.2.1)
11:17:34	1442/1442	---M--	200	added ('OK')	image/png	date:Fri,%2020%20May%202016%2021:27:40%20GMT	http://www.isgd.org/wp-content/plugins/js_composer/assets/lib/prettyphoto/images/prettyPhoto/light_rounded/btnPrevious.png	C:/My%20Web%20Sites/isgd/www.isgd.org/wp-content/plugins/js_composer/assets/lib/prettyphoto/images/prettyPhoto/light_rounded/btnPrevious.png	(from http://www.isgd.org/wp-content/plugins/js_composer/assets/lib/prettyphoto/css/prettyPhoto.min.css?ver=4.11.2.1)
11:17:35	130/130	---M--	200	added ('OK')	image/png	date:Fri,%2020%20May%202016%2021:27:40%20GMT	http://www.isgd.org/wp-content/plugins/js_composer/assets/lib/prettyphoto/images/prettyPhoto/dark_rounded/contentPattern.png	C:/My%20Web%20Sites/isgd/www.isgd.org/wp-content/plugins/js_composer/assets/lib/prettyphoto/images/prettyPhoto/dark_rounded/contentPattern.png	(from http://www.isgd.org/wp-content/plugins/js_composer/assets/lib/prettyphoto/css/prettyPhoto.min.css?ver=4.11.2.1)
11:17:35	4076/4076	---M--	200	added ('OK')	image/png	date:Fri,%2020%20May%202016%2021:27:40%20GMT	http://www.isgd.org/wp-content/plugins/js_composer/assets/lib/prettyphoto/images/prettyPhoto/dark_rounded/sprite.png	C:/My%20Web%20Sites/isgd/www.isgd.org/wp-content/plugins/js_composer/assets/lib/prettyphoto/images/prettyPhoto/dark_rounded/sprite.png	(from http://www.isgd.org/wp-content/plugins/js_composer/assets/lib/prettyphoto/css/prettyPhoto.min.css?ver=4.11.2.1)
11:17:35	1411/1411	---M--	200	added ('OK')	image/png	date:Fri,%2020%20May%202016%2021:27:40%20GMT	http://www.isgd.org/wp-content/plugins/js_composer/assets/lib/prettyphoto/images/prettyPhoto/dark_rounded/btnNext.png	C:/My%20Web%20Sites/isgd/www.isgd.org/wp-content/plugins/js_composer/assets/lib/prettyphoto/images/prettyPhoto/dark_rounded/btnNext.png	(from http://www.isgd.org/wp-content/plugins/js_composer/assets/lib/prettyphoto/css/prettyPhoto.min.css?ver=4.11.2.1)
11:17:36	1442/1442	---M--	200	added ('OK')	image/png	date:Fri,%2020%20May%202016%2021:27:40%20GMT	http://www.isgd.org/wp-content/plugins/js_composer/assets/lib/prettyphoto/images/prettyPhoto/dark_rounded/btnPrevious.png	C:/My%20Web%20Sites/isgd/www.isgd.org/wp-content/plugins/js_composer/assets/lib/prettyphoto/images/prettyPhoto/dark_rounded/btnPrevious.png	(from http://www.isgd.org/wp-content/plugins/js_composer/assets/lib/prettyphoto/css/prettyPhoto.min.css?ver=4.11.2.1)
11:17:36	91762/91762	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Dec%202015%2007:27:56%20GMT	http://www.isgd.org/wp-content/uploads/2015/12/new1-1024x517.jpg	C:/My%20Web%20Sites/isgd/www.isgd.org/wp-content/uploads/2015/12/new1-1024x517.jpg	(from http://www.isgd.org/gallery/)
11:17:36	2545/2545	---M--	200	added ('OK')	image/gif	date:Fri,%2020%20May%202016%2021:27:40%20GMT	http://www.isgd.org/wp-content/plugins/js_composer/assets/lib/prettyphoto/images/prettyPhoto/dark_rounded/loader.gif	C:/My%20Web%20Sites/isgd/www.isgd.org/wp-content/plugins/js_composer/assets/lib/prettyphoto/images/prettyPhoto/dark_rounded/loader.gif	(from http://www.isgd.org/wp-content/plugins/js_composer/assets/lib/prettyphoto/css/prettyPhoto.min.css?ver=4.11.2.1)
11:17:36	2545/2545	---M--	200	added ('OK')	image/gif	date:Fri,%2020%20May%202016%2021:27:40%20GMT	http://www.isgd.org/wp-content/plugins/js_composer/assets/lib/prettyphoto/images/prettyPhoto/dark_square/loader.gif	C:/My%20Web%20Sites/isgd/www.isgd.org/wp-content/plugins/js_composer/assets/lib/prettyphoto/images/prettyPhoto/dark_square/loader.gif	(from http://www.isgd.org/wp-content/plugins/js_composer/assets/lib/prettyphoto/css/prettyPhoto.min.css?ver=4.11.2.1)
11:17:36	3507/3507	---M--	200	added ('OK')	image/png	date:Fri,%2020%20May%202016%2021:27:40%20GMT	http://www.isgd.org/wp-content/plugins/js_composer/assets/lib/prettyphoto/images/prettyPhoto/dark_square/sprite.png	C:/My%20Web%20Sites/isgd/www.isgd.org/wp-content/plugins/js_composer/assets/lib/prettyphoto/images/prettyPhoto/dark_square/sprite.png	(from http://www.isgd.org/wp-content/plugins/js_composer/assets/lib/prettyphoto/css/prettyPhoto.min.css?ver=4.11.2.1)
11:17:36	1411/1411	---M--	200	added ('OK')	image/png	date:Fri,%2020%20May%202016%2021:27:40%20GMT	http://www.isgd.org/wp-content/plugins/js_composer/assets/lib/prettyphoto/images/prettyPhoto/dark_square/btnNext.png	C:/My%20Web%20Sites/isgd/www.isgd.org/wp-content/plugins/js_composer/assets/lib/prettyphoto/images/prettyPhoto/dark_square/btnNext.png	(from http://www.isgd.org/wp-content/plugins/js_composer/assets/lib/prettyphoto/css/prettyPhoto.min.css?ver=4.11.2.1)
